iter	Passed	Remaining
244	317	365
245	318	364
246	319	362
247	320	360
248	325	363
249	326	362
250	327	360
251	328	358
252	329	356
253	330	355
254	332	354
255	342	362
256	343	361
257	344	359
258	346	359
259	348	357
260	356	363
261	358	362
262	360	361
263	361	359
264	362	358
265	363	356
266	371	361
267	372	359
268	375	360
269	376	358
270	377	356
271	378	355
272	388	361
273	389	359
274	390	357
275	391	355
276	392	354
277	393	352
278	404	359
279	405	358
280	407	356
281	420	365
282	421	363
283	422	361
284	423	359
285	424	357
286	485	405
287	486	403
288	487	401
289	490	400
290	499	404
291	500	403
292	502	401
293	503	399
294	504	396
295	505	394
296	506	391
297	513	394
298	514	392
299	516	390
300	516	388
301	517	385
302	520	384
303	530	389
304	531	386
305	532	384
306	532	381
307	536	381
308	541	382
309	546	382
310	547	380
311	548	378
312	553	378
313	554	376
314	555	374
315	556	371
316	557	369
317	558	367
318	560	365
319	566	366
320	568	364
321	569	362
322	571	360
323	572	358
324	574	356
325	575	354
326	581	355
327	583	354
328	585	352
329	585	349
330	587	347
331	587	345
332	589	343
333	594	343
334	596	341
335	681	387
336	681	384
337	682	381
338	686	380
339	688	378
340	696	379
341	701	379
342	703	377
343	710	377
344	711	375
345	714	373
346	715	371
347	716	368
348	717	365
349	718	363
350	723	362
351	724	360
352	725	357
353	726	354
354	727	352
355	728	350
356	733	349
357	734	346
358	736	344
359	871	404
360	873	401
361	874	398
362	888	401
363	890	398
364	900	399
365	901	396
366	902	393
367	903	390
368	915	392
369	919	390
370	921	387
371	932	388
372	937	387
373	949	388
374	959	389
375	963	386
376	965	384
377	973	383
378	975	380
379	977	378
380	1060	406
381	1061	402
382	1062	399
383	1064	396
384	1065	392
385	1066	389
386	1067	386
387	1075	385
388	1076	381
389	1077	378
390	1078	375
391	1079	371
392	1079	368
393	1080	364
394	1081	361
395	1082	358
396	1083	354
397	1088	352
398	1088	349
399	1089	345
400	1090	342
401	1091	339
402	1091	335
403	1092	332
404	1093	329
405	1094	326
406	1094	322
407	1095	319
408	1096	316
409	1144	326
410	1171	330
411	1176	328
412	1193	329
413	1195	326
414	1204	325
415	1205	321
416	1206	318
417	1207	314
418	1208	311
419	1209	308
420	1216	306
421	1217	302
422	1218	299
423	1218	296
424	1219	292
425	1220	289
426	1221	286
427	1222	282
428	1223	279
429	1227	276
430	1228	273
431	1230	270
432	1231	267
433	1232	264
434	1233	260
435	1234	257
436	1235	254
437	1235	251
438	1237	247
439	1242	245
440	1243	242
441	1244	239
442	1245	236
443	1246	232
444	1247	229
445	1248	226
446	1249	223
447	1249	220
448	1251	217
449	1251	214
450	1255	211
451	1257	208
452	1259	205
453	1260	202
454	1261	199
455	1261	196
456	1262	193
457	1265	190
458	1266	187
459	1270	185
460	1272	182
461	1273	179
462	1274	176
463	1275	173
464	1276	170
465	1277	167
466	1278	164
467	1279	161
468	1280	158
469	1286	155
470	1287	153
471	1288	150
472	1292	147
473	1295	144
474	1295	141
475	1300	139
476	1301	136
477	1303	133
478	1304	130
479	1305	127
480	1306	124
481	1307	122
482	1308	119
483	1312	116
484	1314	113
485	1316	111
486	1318	108
487	1319	105
488	1320	102
489	1321	99
490	1322	97
491	1326	94
492	1329	91
493	1330	88
494	1332	86
495	1334	83
496	1336	80
497	1338	77
498	1339	75
499	1340	72
500	1341	69
501	1353	67
502	1356	64
503	1357	61
504	1358	59
505	1360	56
506	1362	53
